division,school,nickname,logo
D3,North Central,Cardinals,https://footballpedia.s3.amazonaws.com/logo/Division+3/North_Central_Cardinals.jpg
D3,North Park,Vikings,https://footballpedia.s3.amazonaws.com/logo/Division+3/North_Park_Vikings.png
D3,Washington St. Louis,Bears,https://footballpedia.s3.amazonaws.com/logo/Division+3/Washington_St._Louis_Bears.jpg
D3,Wheaton (IL),Thunder,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wheaton-il.svg
D3,Dickinson,Red Devils,https://footballpedia.s3.amazonaws.com/logo/Division+3/Dickinson_Red_Devils.jpg
D3,Franklin & Marshall,Diplomats,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/frank-marsh.svg
D3,Gettysburg,Bullets,https://footballpedia.s3.amazonaws.com/logo/Division+3/Gettysburg_Bullets.png
D3,Johns Hopkins,Blue Jays,https://footballpedia.s3.amazonaws.com/logo/Division+3/Johns_Hopkins_Blue_Jays.png
D3,Juniata,Eagles,https://footballpedia.s3.amazonaws.com/logo/Division+3/Juniata_Eagles.png
D3,McDaniel,Green Terror,https://footballpedia.s3.amazonaws.com/logo/Division+3/McDaniel_Green_Terror.jpg
D3,Moravian,Greyhounds,https://footballpedia.s3.amazonaws.com/logo/Division+3/Moravian_Greyhounds.jpg
D3,Muhlenberg,Mules,https://footballpedia.s3.amazonaws.com/logo/Division+3/Muhlenberg_Mules.png
D3,Susquehanna,Crusaders,https://footballpedia.s3.amazonaws.com/logo/Division+3/Susquehanna_Crusaders.jpg
D3,Ursinus,Bears,https://footballpedia.s3.amazonaws.com/logo/Division+3/Ursinus_Bears.jpg
D2,Bowie State,Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Bowie_State_Bulldogs_logo.svg/200px-Bowie_State_Bulldogs_logo.svg.png
D2,Chowan,Hawks,https://pbs.twimg.com/profile_images/290559300/twitter_logo__400x400.jpg
D2,Elizabeth City State,Vikings,https://footballpedia.s3.amazonaws.com/logo/Division+2/Elizabeth_City_State_Vikings.svg
D2,Fayetteville State,Broncos,https://pbs.twimg.com/profile_images/923719216586424320/LQO1ZyDT_400x400.jpg
D2,Johnson C. Smith,Golden Bulls,https://pbs.twimg.com/profile_images/1006971276722950144/rogbNDvH_400x400.jpg
D2,Lincoln (PA),Lions,https://pbs.twimg.com/profile_images/1039901571054817280/93W8AiLq_400x400.jpg
D2,Livingstone,Blue Bears,https://pbs.twimg.com/profile_images/661182176/BlueBears_No_Background_400x400.jpg
D2,Saint Augustine's,Falcons,https://pbs.twimg.com/profile_images/853313236799807489/mdR7XezY_400x400.jpg
D2,Shaw,Bears,https://footballpedia.s3.amazonaws.com/logo/Division+2/Shaw_Bears.png
D2,Virginia State,Trojans,https://footballpedia.s3.amazonaws.com/logo/Division+2/Virginia_State_Trojans.png
D2,Virginia Union,Panthers,https://footballpedia.s3.amazonaws.com/logo/Division+2/Virginia_Union_Panthers.png
D2,Winston-Salem State,Rams,https://cdn.prestosports.com/action/cdn/img/mw=760/mh=629/cr=n/d=uy818/fm4g2q6bp5szfe7z.jpg
D2,UNC Pembroke,Braves,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/UNC_Pembroke_Braves_logo.svg/1200px-UNC_Pembroke_Braves_logo.svg.png
D3,Alfred State,Pioneers,https://pbs.twimg.com/profile_images/1019273459845615616/7DVFNeAC_400x400.jpg
D3,Anna Maria,AMCATS,https://pbs.twimg.com/profile_images/1009858245157163010/TxSPru2v_400x400.jpg
D3,Castleton,Spartans,https://footballpedia.s3.amazonaws.com/logo/Division+3/Dean_Bulldogs.jpg
D3,Dean,Bulldogs,https://footballpedia.s3.amazonaws.com/logo/Division+3/Dean_Bulldogs.jpg
D3,Gallaudet,Bison,https://footballpedia.s3.amazonaws.com/logo/Division+3/Gallaudet_Bison.png
D3,Husson,Eagles,https://footballpedia.s3.amazonaws.com/logo/Division+3/Husson_Eagles.png
D3,SUNY Maritime,Privateers,https://pbs.twimg.com/profile_images/1063125949355565057/4_6WtDoK_400x400.jpg
D3,Alfred,Saxons,https://footballpedia.s3.amazonaws.com/logo/Division+3/Alfred_Saxons.jpg
D3,Brockport,Golden Eagles,https://footballpedia.s3.amazonaws.com/logo/Division+3/Brockport_Golden_Eagles.jpg
D3,Buffalo State,Bengals,https://footballpedia.s3.amazonaws.com/logo/Division+3/Buffalo_State_Bengals.jpg
D3,Cortland State,Red Dragons,https://footballpedia.s3.amazonaws.com/logo/Division+3/Cortland_State_Red_Dragons.png
D3,Hartwick,Hawks,https://footballpedia.s3.amazonaws.com/logo/Division+3/Hartwick_Hawks.jpg
D3,Morrisville State,Mustangs,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/morrisville-st.svg
D3,St. John Fisher,Cardinals,https://footballpedia.s3.amazonaws.com/logo/Division+3/St._John_Fisher_Cardinals.png
D3,Utica,Pioneers,https://footballpedia.s3.amazonaws.com/logo/Division+3/Utica_Pioneers.png
FBS,Army,Black Knights,https://footballpedia.s3.amazonaws.com/logo/Division+1/Army_Black_Knights.png
FBS,Brigham Young,Cougars,https://s3.amazonaws.com/footballpedia/logo/Division+1/BYU_Cougars.png
FBS,Liberty,Flames,https://footballpedia.s3.amazonaws.com/logo/Division+1/Liberty_Flames.png
FBS,Massachusetts,Minutemen,https://s3.amazonaws.com/footballpedia/logo/Division+1/UMass_Minutemen.png
FBS,New Mexico State,Aggies,https://footballpedia.s3.amazonaws.com/logo/Division+1/New_Mexico_State_Aggies.png
FBS,Notre Dame,Fighting Irish,https://footballpedia.s3.amazonaws.com/logo/Division+1/Notre_Dame_Fighting_Irish.png
FBS,Notre Dame,Fighting Irish,https://footballpedia.s3.amazonaws.com/logo/Division+1/Notre_Dame_Fighting_Irish.png
FCS,Hampton,Pirates,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Hampton_Pirates_logo.svg/800px-Hampton_Pirates_logo.svg.png
FCS,North Alabama,Lions,https://pbs.twimg.com/profile_images/1020289787536859136/Xh3xHcmu_400x400.jpg
FCS,North Dakota,Fighting Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/North_Dakota_Fighting_Hawks_logo.svg/1920px-North_Dakota_Fighting_Hawks_logo.svg.png
NAIA,Carroll (MT),Fighting Saints,https://a.espncdn.com/i/teamlogos/ncaa/500/2104.png
NAIA,College of Idaho,Coyotes,https://pbs.twimg.com/profile_images/687016093223796736/okhoanzo_400x400.jpg
NAIA,Eastern Oregon,Mountaineers,https://eousports.com/images/main_logo.png
NAIA,Montana State-Northern,Lights,https://pbs.twimg.com/profile_images/1075504500679438336/8IxO3yev_400x400.jpg
NAIA,Montana Tech,Orediggers,https://pbs.twimg.com/profile_images/892131259937206272/2KUJz6SE_400x400.jpg
NAIA,Montana Western,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2701.png
NAIA,Rocky Mountain,Battlin' Bears,https://pbs.twimg.com/profile_images/1059613953586716672/lNRRFP3u_400x400.jpg
NAIA,Southern Oregon,Raiders,https://footballpedia.s3.amazonaws.com/logo/NAIA/Southern_Oregon_Raiders.png
D2,Alderson-Broaddus,Battlers,https://pbs.twimg.com/profile_images/1085923412160233473/-h7I0zBE_400x400.jpg
D2,Findlay,Oilers,https://footballpedia.s3.amazonaws.com/logo/Division+2/Findlay_Oilers.png
D2,Hillsdale,Chargers,https://pbs.twimg.com/profile_images/513515882333491200/Rjr5oH3x_400x400.jpeg
D2,Ky. Wesleyan,Panthers,https://pbs.twimg.com/profile_images/1148290488857968640/7LNPxozH_400x400.jpg
D2,Lake Erie,Storm,https://footballpedia.s3.amazonaws.com/logo/Division+2/Lake_Erie_Storm.png
D2,Malone,Pioneers,https://pbs.twimg.com/profile_images/1259609014/Twitter_Logo_2_400x400.jpg
D2,Ohio Dominican,Panthers,https://footballpedia.s3.amazonaws.com/logo/Division+2/Ohio_Dominican_Panthers.png
D2,Tiffin,Dragons,https://upload.wikimedia.org/wikipedia/en/1/1d/TiffinDragons.png
D2,Walsh,Cavaliers,https://pbs.twimg.com/profile_images/961281049841061889/4neA4MdO_400x400.jpg
D2,Arkansas Tech,Wonder Boys,https://footballpedia.s3.amazonaws.com/logo/Division+2/Arkansas_Tech_Wonder_Boys.png
D2,Arkansas-Monticello,Boll Weevils,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ark-monticello.svg
D2,East Central,Tigers,https://pbs.twimg.com/profile_images/968257845832511488/PK8RBnEG_400x400.jpg
D2,Harding,Bisons,https://hardingsports.com/images/responsive/scroll_logo.png
D2,Henderson State,Reddies,https://footballpedia.s3.amazonaws.com/logo/Division+2/Henderson_State_Reddies.png
D2,Northwestern Oklahoma,Rangers,https://upload.wikimedia.org/wikipedia/en/0/0e/NWOSU_Rangers.png
D2,Southwestern Oklahoma,Bulldogs,https://upload.wikimedia.org/wikipedia/en/9/95/SWOSU_logo.png
D2,Oklahoma Baptist,Bison,https://footballpedia.s3.amazonaws.com/logo/Division+2/Oklahoma_Baptist_Bison.png
D2,Ouachita Baptist,Tigers,https://pbs.twimg.com/profile_images/496403549597626368/h2QrY31Y_400x400.jpeg
D2,Southeastern Oklahoma,Savage Storm,https://pbs.twimg.com/profile_images/1034084247420559361/Y7A_EVY5_400x400.jpg
